sample	capture_status	platform	ensembl_genes	ensembl_transcripts	ensembl_genes_tmerged_loci	ensembl_transcripts_tmerged_loci	detected_genes	detected_ensembl_transcripts	detected_sample_transcripts	fl_genes	non_fl_genes	fl_genes_percent	detected_genes_ensembl_isoforms	detected_genes_sample_isoforms	total_genes	total_transcripts	isoforms	splice_status
Testis	Pre	Cap-Trap	27533	54325	26792	50122	12026	25734	34595	7649	4377	.63603858307001496757	2.13986362880425744220	2.87668385165474804590	16881	43817	2.59564006871630827557	spliced
Testis	Pre	Cap-Trap	4866	4965	4840	4840	333	348	335	230	103	.69069069069069069069	1.04504504504504504504	1.00600600600600600600	9812	9812	1.00000000000000000000	unspliced
Testis	Pre	TSO	27533	54325	26792	50122	12471	27061	26512	8443	4028	.67701066474220190842	2.16991420094619517280	2.12589206960147542298	16118	31656	1.96401538652438267775	spliced
Testis	Pre	TSO	4866	4965	4840	4840	399	416	404	216	183	.54135338345864661654	1.04260651629072681704	1.01253132832080200501	23152	23152	1.00000000000000000000	unspliced
Testis	Pre	noSS500	27533	54325	26792	50122	10430	22404	27626	6724	3706	.64467881112176414189	2.14803451581975071907	2.64870565675934803451	14433	34708	2.40476685373796161574	spliced
Testis	Pre	noSS500	4866	4965	4840	4840	278	289	282	189	89	.67985611510791366906	1.03956834532374100719	1.01438848920863309352	7589	7589	1.00000000000000000000	unspliced
Heart	Pre	Cap-Trap	27533	54325	26792	50122	9541	21438	21641	7090	2451	.74310868881668588198	2.24693428361806938476	2.26821087936275023582	10741	23265	2.16599944139279396704	spliced
Heart	Pre	Cap-Trap	4866	4965	4840	4840	215	226	218	157	58	.73023255813953488372	1.05116279069767441860	1.01395348837209302325	3459	3459	1.00000000000000000000	unspliced
Heart	Pre	TSO	27533	54325	26792	50122	10482	23593	21922	7652	2830	.73001335622972715130	2.25081091394771990078	2.09139477199007822934	12288	24034	1.95589192708333333333	spliced
Heart	Pre	TSO	4866	4965	4840	4840	323	334	329	193	130	.59752321981424148606	1.03405572755417956656	1.01857585139318885448	15257	15257	1.00000000000000000000	unspliced
Heart	Pre	noSS500	27533	54325	26792	50122	9406	21042	22071	6969	2437	.74091005741016372528	2.23708271316181160961	2.34648096959387624920	10633	23750	2.23361233894479450766	spliced
Heart	Pre	noSS500	4866	4965	4840	4840	217	227	220	143	74	.65898617511520737327	1.04608294930875576036	1.01382488479262672811	3600	3600	1.00000000000000000000	unspliced
28hpf	Pre	Cap-Trap	27533	54325	26792	50122	9740	21373	20236	7422	2318	.76201232032854209445	2.19435318275154004106	2.07761806981519507186	10793	21613	2.00250162142129157787	spliced
28hpf	Pre	Cap-Trap	4866	4965	4840	4840	300	315	302	198	102	.66000000000000000000	1.05000000000000000000	1.00666666666666666666	2924	2924	1.00000000000000000000	unspliced
28hpf	Pre	TSO	27533	54325	26792	50122	15071	33371	41573	10593	4478	.70287306748059186517	2.21425253798686218565	2.75847654435671156525	19516	46940	2.40520598483295757327	spliced
28hpf	Pre	TSO	4866	4965	4840	4840	682	709	696	448	234	.65689149560117302052	1.03958944281524926686	1.02052785923753665689	38224	38224	1.00000000000000000000	unspliced
28hpf	Pre	noSS500	27533	54325	26792	50122	8278	18364	17406	6395	1883	.77252959652089876781	2.21841024402029475718	2.10268180719980671659	9124	18504	2.02805786935554581323	spliced
28hpf	Pre	noSS500	4866	4965	4840	4840	254	268	255	161	93	.63385826771653543307	1.05511811023622047244	1.00393700787401574803	2680	2680	1.00000000000000000000	unspliced
2-4Cell	Pre	Cap-Trap	27533	54325	26792	50122	12268	27357	37152	7912	4356	.64492989892402999673	2.22994783175741767199	3.02836648190414085425	14186	39965	2.81721415480050754264	spliced
2-4Cell	Pre	Cap-Trap	4866	4965	4840	4840	304	315	305	197	107	.64802631578947368421	1.03618421052631578947	1.00328947368421052631	6985	6985	1.00000000000000000000	unspliced
2-4Cell	Pre	TSO	27533	54325	26792	50122	12314	27692	33281	8551	3763	.69441286340750365437	2.24882247847977911320	2.70269611823940230631	13980	35678	2.55207439198855507868	spliced
2-4Cell	Pre	TSO	4866	4965	4840	4840	294	306	299	180	114	.61224489795918367346	1.04081632653061224489	1.01700680272108843537	15384	15384	1.00000000000000000000	unspliced
2-4Cell	Pre	noSS500	27533	54325	26792	50122	10206	22971	25265	6977	3229	.68361747991377621007	2.25073486184597295708	2.47550460513423476386	11358	26815	2.36089100193696073252	spliced
2-4Cell	Pre	noSS500	4866	4965	4840	4840	248	257	249	147	101	.59274193548387096774	1.03629032258064516129	1.00403225806451612903	4563	4563	1.00000000000000000000	unspliced
Testis	Post	Cap-Trap	27533	54325	26792	50122	7226	15204	36883	3799	3427	.52574038195405480210	2.10406864101854414613	5.10420703016883476335	11299	55650	4.92521462076289937162	spliced
Testis	Post	Cap-Trap	4866	4965	4840	4840	170	176	175	81	89	.47647058823529411764	1.03529411764705882352	1.02941176470588235294	9052	9052	1.00000000000000000000	unspliced
Testis	Post	TSO	27533	54325	26792	50122	12471	27061	26512	8443	4028	.67701066474220190842	2.16991420094619517280	2.12589206960147542298	16118	31656	1.96401538652438267775	spliced
Testis	Post	TSO	4866	4965	4840	4840	399	416	404	216	183	.54135338345864661654	1.04260651629072681704	1.01253132832080200501	23152	23152	1.00000000000000000000	unspliced
Testis	Post	noSS500	27533	54325	26792	50122	10430	22404	27626	6724	3706	.64467881112176414189	2.14803451581975071907	2.64870565675934803451	14433	34708	2.40476685373796161574	spliced
Testis	Post	noSS500	4866	4965	4840	4840	278	289	282	189	89	.67985611510791366906	1.03956834532374100719	1.01438848920863309352	7589	7589	1.00000000000000000000	unspliced
Heart	Post	Cap-Trap	27533	54325	26792	50122	7799	17363	22527	4689	3110	.60123092704192845236	2.22631106552122066931	2.88844723682523400435	9945	27280	2.74308697838109602815	spliced
Heart	Post	Cap-Trap	4866	4965	4840	4840	172	181	173	103	69	.59883720930232558139	1.05232558139534883720	1.00581395348837209302	4621	4621	1.00000000000000000000	unspliced
Heart	Post	TSO	27533	54325	26792	50122	10482	23593	21922	7652	2830	.73001335622972715130	2.25081091394771990078	2.09139477199007822934	12288	24034	1.95589192708333333333	spliced
Heart	Post	TSO	4866	4965	4840	4840	323	334	329	193	130	.59752321981424148606	1.03405572755417956656	1.01857585139318885448	15257	15257	1.00000000000000000000	unspliced
Heart	Post	noSS500	27533	54325	26792	50122	9406	21042	22071	6969	2437	.74091005741016372528	2.23708271316181160961	2.34648096959387624920	10633	23750	2.23361233894479450766	spliced
Heart	Post	noSS500	4866	4965	4840	4840	217	227	220	143	74	.65898617511520737327	1.04608294930875576036	1.01382488479262672811	3600	3600	1.00000000000000000000	unspliced
28hpf	Post	Cap-Trap	27533	54325	26792	50122	7998	17517	23536	4975	3023	.62203050762690672668	2.19017254313578394598	2.94273568392098024506	10331	29258	2.83205885199883844739	spliced
28hpf	Post	Cap-Trap	4866	4965	4840	4840	225	233	227	129	96	.57333333333333333333	1.03555555555555555555	1.00888888888888888888	5120	5120	1.00000000000000000000	unspliced
28hpf	Post	TSO	27533	54325	26792	50122	15071	33371	41573	10593	4478	.70287306748059186517	2.21425253798686218565	2.75847654435671156525	19516	46940	2.40520598483295757327	spliced
28hpf	Post	TSO	4866	4965	4840	4840	682	709	696	448	234	.65689149560117302052	1.03958944281524926686	1.02052785923753665689	38224	38224	1.00000000000000000000	unspliced
28hpf	Post	noSS500	27533	54325	26792	50122	8278	18364	17406	6395	1883	.77252959652089876781	2.21841024402029475718	2.10268180719980671659	9124	18504	2.02805786935554581323	spliced
28hpf	Post	noSS500	4866	4965	4840	4840	254	268	255	161	93	.63385826771653543307	1.05511811023622047244	1.00393700787401574803	2680	2680	1.00000000000000000000	unspliced
2-4Cell	Post	Cap-Trap	27533	54325	26792	50122	5512	12114	20259	2636	2876	.47822931785195936139	2.19775036284470246734	3.67543541364296081277	7083	25556	3.60807567414937173514	spliced
2-4Cell	Post	Cap-Trap	4866	4965	4840	4840	92	97	95	44	48	.47826086956521739130	1.05434782608695652173	1.03260869565217391304	4469	4469	1.00000000000000000000	unspliced
2-4Cell	Post	TSO	27533	54325	26792	50122	12314	27692	33281	8551	3763	.69441286340750365437	2.24882247847977911320	2.70269611823940230631	13980	35678	2.55207439198855507868	spliced
2-4Cell	Post	TSO	4866	4965	4840	4840	294	306	299	180	114	.61224489795918367346	1.04081632653061224489	1.01700680272108843537	15384	15384	1.00000000000000000000	unspliced
2-4Cell	Post	noSS500	27533	54325	26792	50122	10206	22971	25265	6977	3229	.68361747991377621007	2.25073486184597295708	2.47550460513423476386	11358	26815	2.36089100193696073252	spliced
2-4Cell	Post	noSS500	4866	4965	4840	4840	248	257	249	147	101	.59274193548387096774	1.03629032258064516129	1.00403225806451612903	4563	4563	1.00000000000000000000	unspliced
